Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
23,84,Low,High,No,7,54,Low,Yes,0,Low,Medium,Public,Positive,3,No,High School,Near,Male,50
19,64,Low,Medium,No,8,44,Low,Yes,2,Medium,Medium,Public,Negative,4,No,College,Moderate,Female,45
24,98,Medium,Medium,Yes,7,68,Medium,Yes,2,Medium,Medium,Public,Neutral,4,No,Postgraduate,Near,Male,55
29,89,Low,Medium,Yes,8,73,Medium,Yes,1,Medium,Medium,Public,Negative,4,No,High School,Moderate,Male,53
19,92,Medium,Medium,Yes,6,48,Medium,Yes,3,Medium,High,Public,Neutral,4,No,College,Near,Female,52
19,88,Medium,Medium,Yes,8,66,Medium,Yes,3,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Male,53
29,84,Medium,Low,Yes,7,51,Low,Yes,1,Low,Medium,Private,Neutral,2,No,High School,Moderate,Male,50
25,78,Low,High,Yes,6,37,Medium,Yes,1,High,High,Public,Negative,2,No,High School,Far,Male,49
17,94,Medium,High,No,6,60,High,Yes,0,Medium,Low,Private,Neutral,1,No,College,Near,Male,51
23,98,Medium,Medium,Yes,8,53,Medium,Yes,0,High,High,Public,Positive,5,No,High School,Moderate,Male,54
17,80,Low,High,No,8,66,Medium,No,4,Medium,High,Private,Neutral,4,No,College,Moderate,Male,51
17,97,Medium,High,Yes,6,65,Low,Yes,2,Low,High,Private,Neutral,2,No,High School,Near,Male,53
21,83,Medium,Medium,Yes,8,72,Low,Yes,2,Medium,Medium,Public,Positive,4,No,High School,Near,Male,52
9,82,Medium,Medium,Yes,8,54,Medium,Yes,2,Medium,Medium,Private,Positive,3,No,Postgraduate,Near,Male,49
10,78,Medium,High,Yes,8,55,Medium,Yes,1,Low,Medium,Private,Neutral,4,No,Postgraduate,Near,Male,48
17,68,Medium,Medium,No,8,52,Medium,Yes,2,Medium,Medium,Private,Positive,4,No,High School,Near,Female,48
14,60,Medium,Low,Yes,10,48,Low,Yes,0,High,Medium,Private,Positive,3,No,College,Near,Male,45
22,70,Low,Medium,Yes,6,61,Medium,Yes,1,Low,High,Public,Neutral,3,No,High School,Near,Female,48
15,80,Medium,Medium,Yes,9,68,Low,Yes,3,Low,Medium,Public,Positive,2,No,College,Moderate,Female,50
12,75,Medium,High,Yes,7,43,Medium,Yes,3,Medium,Medium,Private,Positive,4,No,College,Near,Male,49
29,78,Medium,Medium,No,5,74,High,Yes,0,High,Medium,Public,Negative,1,No,High School,Moderate,Female,51
19,99,Medium,High,No,6,63,Medium,Yes,1,Medium,High,Public,Neutral,3,No,High School,Near,Male,54
20,74,Medium,High,No,8,66,Low,Yes,1,Medium,Medium,Public,Negative,2,No,College,Moderate,Female,49
11,78,High,Medium,Yes,8,75,High,Yes,1,Low,Medium,Public,Neutral,3,No,High School,Moderate,Male,49
17,65,Low,High,Yes,5,56,Medium,Yes,2,Low,Medium,Public,Positive,3,No,High School,Near,Female,47
21,62,High,Low,Yes,6,40,High,Yes,0,High,High,Public,Positive,3,No,Postgraduate,Far,Male,48
13,91,Low,Medium,No,6,67,Medium,Yes,1,High,Medium,Public,Negative,2,Yes,High School,Moderate,Female,48
22,83,High,High,Yes,6,70,Medium,Yes,0,High,Medium,Public,Neutral,2,No,College,Moderate,Male,53
16,90,Medium,Medium,No,4,43,Medium,Yes,1,Low,Medium,Public,Neutral,3,No,High School,Moderate,Female,49
18,66,High,High,No,4,38,Low,Yes,2,Low,Medium,Private,Neutral,2,No,College,Near,Male,48
